"UF","Estado","Regiao","Sexo","TipoDeTrabalho","Quantidade"
AC,Acre,Norte,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1209
AC,Acre,Norte,"1",ALOJAMENTO E ALIMENTAÇÃO,77
AC,Acre,Norte,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,57
AC,Acre,Norte,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,427
AC,Acre,Norte,"1",CONSTRUÇÃO,175
AC,Acre,Norte,"1",EDUCAÇÃO,87
AC,Acre,Norte,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,1122
AC,Acre,Norte,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",165
AC,Acre,Norte,"2",ALOJAMENTO E ALIMENTAÇÃO,117
AC,Acre,Norte,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,120
AC,Acre,Norte,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",87
AC,Acre,Norte,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,25
AC,Acre,Norte,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,624
AC,Acre,Norte,"2",OUTRAS ATIVIDADES DE SERVIÇOS,91
AC,Acre,Norte,"2",SERVIÇOS DOMÉSTICOS,222
AC,Acre,Norte,"2","TRANSPORTE, ARMAZENAGEM E CORREIO",116
AL,Alagoas,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2493
AL,Alagoas,Nordeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",182
AL,Alagoas,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1367
AL,Alagoas,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,3793
AL,Alagoas,Nordeste,"1",CONSTRUÇÃO,628
AL,Alagoas,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,546
AL,Alagoas,Nordeste,"1",INDÚSTRIAS EXTRATIVAS,96
AL,Alagoas,Nordeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,185
AL,Alagoas,Nordeste,"1",SERVIÇOS DOMÉSTICOS,153
AL,Alagoas,Nordeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",859
AL,Alagoas,Nordeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",91
AL,Alagoas,Nordeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",334
AL,Alagoas,Nordeste,"2",ALOJAMENTO E ALIMENTAÇÃO,74
AL,Alagoas,Nordeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,1983
AL,Alagoas,Nordeste,"2",EDUCAÇÃO,293
AL,Alagoas,Nordeste,"2",SERVIÇOS DOMÉSTICOS,419
AM,Amazonas,Norte,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",20019
AM,Amazonas,Norte,"1",ALOJAMENTO E ALIMENTAÇÃO,1760
AM,Amazonas,Norte,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",475
AM,Amazonas,Norte,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,5990
AM,Amazonas,Norte,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,2548
AM,Amazonas,Norte,"1",OUTRAS ATIVIDADES DE SERVIÇOS,530
AM,Amazonas,Norte,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",422
AM,Amazonas,Norte,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",224
AM,Amazonas,Norte,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",6665
AM,Amazonas,Norte,"2",ALOJAMENTO E ALIMENTAÇÃO,1128
AM,Amazonas,Norte,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",616
AM,Amazonas,Norte,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,1359
AM,Amazonas,Norte,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,895
AM,Amazonas,Norte,"2",SERVIÇOS DOMÉSTICOS,446
AP,Amapá,Norte,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",670
AP,Amapá,Norte,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",123
AP,Amapá,Norte,"1",ATIVIDADES IMOBILIÁRIAS,191
AP,Amapá,Norte,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,1081
AP,Amapá,Norte,"1",EDUCAÇÃO,191
AP,Amapá,Norte,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",265
AP,Amapá,Norte,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",335
AP,Amapá,Norte,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,348
AP,Amapá,Norte,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,154
AP,Amapá,Norte,"2",SERVIÇOS DOMÉSTICOS,162
BA,Bahia,Nordeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",3070
BA,Bahia,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",20442
BA,Bahia,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,3237
BA,Bahia,Nordeste,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",2804
BA,Bahia,Nordeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1912
BA,Bahia,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,27225
BA,Bahia,Nordeste,"1",CONSTRUÇÃO,4845
BA,Bahia,Nordeste,"1",EDUCAÇÃO,1234
BA,Bahia,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,4020
BA,Bahia,Nordeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,871
BA,Bahia,Nordeste,"1",SERVIÇOS DOMÉSTICOS,214
BA,Bahia,Nordeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",699
BA,Bahia,Nordeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",4696
BA,Bahia,Nordeste,"2",ALOJAMENTO E ALIMENTAÇÃO,7438
BA,Bahia,Nordeste,"2","ARTES, CULTURA, ESPORTE E RECREAÇÃO",909
BA,Bahia,Nordeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,6029
BA,Bahia,Nordeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,1222
BA,Bahia,Nordeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,3108
BA,Bahia,Nordeste,"2",SERVIÇOS DOMÉSTICOS,13208
CE,Ceará,Nordeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",1523
CE,Ceará,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",9692
CE,Ceará,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,3626
CE,Ceará,Nordeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,416
CE,Ceará,Nordeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",500
CE,Ceará,Nordeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",201
CE,Ceará,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,7456
CE,Ceará,Nordeste,"1",CONSTRUÇÃO,1401
CE,Ceará,Nordeste,"1",EDUCAÇÃO,404
CE,Ceará,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,3107
CE,Ceará,Nordeste,"1",SAÚDE HUMANA E SERVIÇOS SOCIAIS,664
CE,Ceará,Nordeste,"1",SERVIÇOS DOMÉSTICOS,1212
CE,Ceará,Nordeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",595
CE,Ceará,Nordeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",1408
CE,Ceará,Nordeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",718
CE,Ceará,Nordeste,"2",ALOJAMENTO E ALIMENTAÇÃO,659
CE,Ceará,Nordeste,"2","ARTES, CULTURA, ESPORTE E RECREAÇÃO",385
CE,Ceará,Nordeste,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",1826
CE,Ceará,Nordeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",416
CE,Ceará,Nordeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,4798
CE,Ceará,Nordeste,"2",EDUCAÇÃO,725
CE,Ceará,Nordeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,1701
CE,Ceará,Nordeste,"2",INFORMAÇÃO E COMUNICAÇÃO,205
CE,Ceará,Nordeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,1104
CE,Ceará,Nordeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,539
CE,Ceará,Nordeste,"2",SERVIÇOS DOMÉSTICOS,2107
DF,Distrito Federal,Centro-Oeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",1642
DF,Distrito Federal,Centro-Oeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",705
DF,Distrito Federal,Centro-Oeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1570
DF,Distrito Federal,Centro-Oeste,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",785
DF,Distrito Federal,Centro-Oeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1037
DF,Distrito Federal,Centro-Oeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",338
DF,Distrito Federal,Centro-Oeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,2973
DF,Distrito Federal,Centro-Oeste,"1",CONSTRUÇÃO,732
DF,Distrito Federal,Centro-Oeste,"1",EDUCAÇÃO,280
DF,Distrito Federal,Centro-Oeste,"1",INFORMAÇÃO E COMUNICAÇÃO,277
DF,Distrito Federal,Centro-Oeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,479
DF,Distrito Federal,Centro-Oeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",193
DF,Distrito Federal,Centro-Oeste,"2","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",520
DF,Distrito Federal,Centro-Oeste,"2",ALOJAMENTO E ALIMENTAÇÃO,391
DF,Distrito Federal,Centro-Oeste,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",277
DF,Distrito Federal,Centro-Oeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,698
DF,Distrito Federal,Centro-Oeste,"2",CONSTRUÇÃO,1701
DF,Distrito Federal,Centro-Oeste,"2",EDUCAÇÃO,320
DF,Distrito Federal,Centro-Oeste,"2",INFORMAÇÃO E COMUNICAÇÃO,343
DF,Distrito Federal,Centro-Oeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,794
DF,Distrito Federal,Centro-Oeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,919
DF,Distrito Federal,Centro-Oeste,"2",SERVIÇOS DOMÉSTICOS,426
ES,Espírito Santo,Sudeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",251
ES,Espírito Santo,Sudeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",7316
ES,Espírito Santo,Sudeste,"1",ALOJAMENTO E ALIMENTAÇÃO,2245
ES,Espírito Santo,Sudeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,380
ES,Espírito Santo,Sudeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",169
ES,Espírito Santo,Sudeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",302
ES,Espírito Santo,Sudeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,3586
ES,Espírito Santo,Sudeste,"1",CONSTRUÇÃO,2226
ES,Espírito Santo,Sudeste,"1",EDUCAÇÃO,331
ES,Espírito Santo,Sudeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,1677
ES,Espírito Santo,Sudeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,521
ES,Espírito Santo,Sudeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",251
ES,Espírito Santo,Sudeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",794
ES,Espírito Santo,Sudeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1328
ES,Espírito Santo,Sudeste,"2",ALOJAMENTO E ALIMENTAÇÃO,1136
ES,Espírito Santo,Sudeste,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,404
ES,Espírito Santo,Sudeste,"2","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",667
ES,Espírito Santo,Sudeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",531
ES,Espírito Santo,Sudeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,1668
ES,Espírito Santo,Sudeste,"2",EDUCAÇÃO,205
ES,Espírito Santo,Sudeste,"2",ELETRICIDADE E GÁS,192
ES,Espírito Santo,Sudeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,474
ES,Espírito Santo,Sudeste,"2",INFORMAÇÃO E COMUNICAÇÃO,273
ES,Espírito Santo,Sudeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,368
ES,Espírito Santo,Sudeste,"2",SERVIÇOS DOMÉSTICOS,927
GO,Goiás,Centro-Oeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",2442
GO,Goiás,Centro-Oeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",5448
GO,Goiás,Centro-Oeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",1453
GO,Goiás,Centro-Oeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1044
GO,Goiás,Centro-Oeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1827
GO,Goiás,Centro-Oeste,"1","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",375
GO,Goiás,Centro-Oeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,13607
GO,Goiás,Centro-Oeste,"1",CONSTRUÇÃO,2224
GO,Goiás,Centro-Oeste,"1",EDUCAÇÃO,468
GO,Goiás,Centro-Oeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,3660
GO,Goiás,Centro-Oeste,"1",INFORMAÇÃO E COMUNICAÇÃO,964
GO,Goiás,Centro-Oeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,1514
GO,Goiás,Centro-Oeste,"1",SERVIÇOS DOMÉSTICOS,2035
GO,Goiás,Centro-Oeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",1298
GO,Goiás,Centro-Oeste,"2","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",762
GO,Goiás,Centro-Oeste,"2","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",643
GO,Goiás,Centro-Oeste,"2",ALOJAMENTO E ALIMENTAÇÃO,1980
GO,Goiás,Centro-Oeste,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,1208
GO,Goiás,Centro-Oeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",1006
GO,Goiás,Centro-Oeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,5249
GO,Goiás,Centro-Oeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,2915
GO,Goiás,Centro-Oeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,300
GO,Goiás,Centro-Oeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,871
GO,Goiás,Centro-Oeste,"2",SERVIÇOS DOMÉSTICOS,2742
MA,Maranhão,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",8522
MA,Maranhão,Nordeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",171
MA,Maranhão,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,913
MA,Maranhão,Nordeste,"1","ARTES, CULTURA, ESPORTE E RECREAÇÃO",286
MA,Maranhão,Nordeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,417
MA,Maranhão,Nordeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",376
MA,Maranhão,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12294
MA,Maranhão,Nordeste,"1",CONSTRUÇÃO,1886
MA,Maranhão,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,792
MA,Maranhão,Nordeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,837
MA,Maranhão,Nordeste,"1",SERVIÇOS DOMÉSTICOS,99
MA,Maranhão,Nordeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",1301
